Country Code,indiceDureza
AFG,-1.457285
ALB,0.114788
DZA,-0.4439246
ASM,0.5514148
AND,1.944976
AGO,-1.052086
AIA,0.8301269
ATG,-0.0060096
ARG,0.0259878
ARM,-0.0243394
ABW,1.058392
AUS,1.596495
AUT,1.453342
AZE,-0.1004674
BHS,0.5391499
BHR,0.1798774
BGD,-0.7483993
BRB,0.4269727
BLR,-0.3010303
BEL,1.171748
BLZ,-0.5938884
BEN,-0.5659866
BMU,1.387551
BTN,0.3588973
BOL,-0.3220994
BIH,-0.6185398
BWA,0.3334411
BRA,-0.4474374
BRN,1.252714
BGR,0.2718757
BFA,-0.5783429
BDI,-1.419982
CPV,0.3192393
KHM,-0.568605
CMR,-0.7996525
CAN,1.716108
CYM,1.204366
CAF,-1.720417
TCD,-1.528847
CHL,1.084034
CHN,0.4771284
COL,-0.0852262
COM,-1.639134
COD,-1.554787
COG,-1.217236
CRI,0.3781868
CIV,-0.5705186
HRV,0.4569183
CUB,-0.2448378
CYP,0.9209022
CZE,0.9222081
DNK,1.871631
DJI,-0.8990966
DMA,-0.2895034
DOM,-0.4002573
ECU,-0.2613976
EGY,-0.5848041
SLV,-0.4471425
GNQ,-1.29438
ERI,-1.727732
EST,1.191938
SWZ,-0.6599468
ETH,-0.6074697
FJI,0.2595362
FIN,1.984208
FRA,1.480526
GUF,1.397863
GAB,-0.8122834
GMB,-0.6234712
GEO,0.6145709
DEU,1.619633
GHA,-0.2102704
GRC,0.3382609
GRL,0.8380827
GRD,-0.2529525
GUM,0.2727026
GTM,-0.6820061
GIN,-0.9709232
GNB,-1.48785
GUY,-0.2694839
HTI,-1.909054
HND,-0.6206585
HKG,1.903607
HUN,0.4873109
ISL,1.465655
IND,0.2830485
IDN,0.1798754
IRN,-0.4302173
IRQ,-1.320548
IRL,1.420338
ISR,1.208207
ITA,0.4138835
JAM,0.4967112
JPN,1.675817
JEY,1.259951
JOR,0.112718
KAZ,0.0217204
KEN,-0.4108523
KIR,-0.2764392
PRK,-1.57276
KOR,1.182665
XKX,-0.4283053
KWT,-0.0878059
KGZ,-0.6115379
LAO,-0.672724
LVA,1.043452
LBN,-0.6402023
LSO,-0.8609057
LBR,-1.340831
LBY,-1.847037
LIE,1.739037
LTU,1.072398
LUX,1.778221
MAC,1.204366
MDG,-1.153121
MWI,-0.7286705
MYS,1.075348
MDV,-0.4884941
MLI,-1.004638
MLT,0.968796
MHL,-1.554391
MTQ,1.108839
MRT,-0.7266325
MUS,0.8760849
MEX,-0.153388
FSM,-0.1488629
MDA,-0.4665205
MNG,-0.2333477
MNE,0.1311615
MAR,-0.2092959
MOZ,-0.8742813
MMR,-1.068652
NAM,0.106442
NRU,-0.076744
NPL,-0.9023383
NLD,1.850466
NZL,1.670251
NIC,-0.8024699
NER,-0.7660425
NGA,-1.022591
MKD,0.0902431
NOR,1.887119
OMN,0.1865782
PAK,-0.6338443
PLW,-0.0121242
PAN,-0.019452
PNG,-0.6773402
PRY,-0.5172144
PER,-0.2454309
PHL,0.0495094
POL,0.6626508
PRT,1.208909
PRI,-0.156924
QAT,0.6312364
REU,1.108839
ROU,-0.2534418
RUS,-0.0608858
RWA,0.2068089
WSM,0.5907587
STP,-0.6393903
SAU,0.3234982
SEN,-0.2678156
SRB,0.1116198
SYC,0.502284
SLE,-1.142948
SGP,2.231474
SVK,0.7074615
SVN,1.125806
SLB,-1.054241
SOM,-2.19103
ZAF,0.3403786
SSD,-2.449409
ESP,1.002136
LKA,-0.2353793
KNA,0.5514148
LCA,0.1956703
VCT,0.1956703
SDN,-1.619857
SUR,-0.6553037
SWE,1.830975
CHE,2.039621
SYR,-1.671169
TWN,1.362331
TJK,-1.097704
TZA,-0.7562658
THA,0.3499596
TLS,-0.9826074
TGO,-1.057791
TON,0.1393548
TTO,0.1902379
TUN,-0.1052618
TUR,0.0060968
TKM,-1.044102
TUV,-0.6936518
UGA,-0.6060399
UKR,-0.4152199
ARE,1.431291
GBR,1.341884
USA,1.576998
URY,0.5582148
UZB,-0.5470828
VUT,-0.4917117
VEN,-1.581517
VNM,-0.0034448
VIR,0.8301269
PSE,-0.7608902
YEM,-2.244354
ZMB,-0.5592093
ZWE,-1.19886
